#,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,7.51%,172.53,-5.34,(-3.00%)
2,Microsoft,MSFT,6.95%,523.73,-9.77,(-1.83%)
3,Apple Inc.,AAPL,5.40%,202.3,-5.27,(-2.54%)
4,Amazon,AMZN,4.08%,214.95,-19.16,(-8.19%)
5,Meta Platforms,META,3.36%,747.95,-25.49,(-3.30%)
6,Broadcom,AVGO,2.41%,287.22,-6.48,(-2.21%)
7,Alphabet Inc. (Class A),GOOGL,2.09%,188.49,-3.41,(-1.78%)
8,Alphabet Inc. (Class C),GOOG,1.99%,189.32,-3.54,(-1.84%)
9,Berkshire Hathaway,BRK.B,1.82%,472.46,0.58,(0.12%)
10,"Tesla, Inc.",TSLA,1.74%,301.33,-6.94,(-2.25%)
11,JPMorgan Chase,JPM,1.42%,288.88,-7.36,(-2.48%)
12,Walmart,WMT,1.40%,98.4,0.42,(0.43%)
13,Oracle Corporation,ORCL,1.22%,243.91,-9.87,(-3.89%)
14,Lilly (Eli),LLY,1.22%,761.25,21.18,(2.86%)
15,Visa Inc.,V,1.18%,339.33,-6.15,(-1.78%)
16,Mastercard,MA,0.91%,560.12,-6.35,(-1.12%)
17,Netflix,NFLX,0.88%,1157.72,-1.68,(-0.14%)
18,ExxonMobil,XOM,0.84%,109.62,-2.02,(-1.81%)
19,Costco,COST,0.75%,952.05,12.41,(1.32%)
20,Johnson & Johnson,JNJ,0.72%,167.31,2.56,(1.56%)
21,Home Depot (The),HD,0.66%,373.44,5.93,(1.61%)
22,Palantir Technologies,PLTR,0.65%,155.27,-3.09,(-1.95%)
23,Procter & Gamble,PG,0.63%,150.68,0.21,(0.14%)
24,AbbVie,ABBV,0.62%,195.45,6.42,(3.40%)
25,Bank of America,BAC,0.61%,45.71,-1.56,(-3.29%)
26,Chevron Corporation,CVX,0.55%,151.45,-0.19,(-0.13%)
27,Coca-Cola Company (The),KO,0.53%,68.83,0.94,(1.38%)
28,GE Aerospace,GE,0.51%,269.43,-1.65,(-0.61%)
29,Advanced Micro Devices,AMD,0.49%,170.59,-5.72,(-3.25%)
30,T-Mobile US,TMUS,0.48%,239.05,0.64,(0.27%)
31,Cisco,CSCO,0.47%,67.1,-0.98,(-1.44%)
32,Philip Morris International,PM,0.45%,163.01,-1.04,(-0.63%)
33,Wells Fargo,WFC,0.45%,77.95,-2.69,(-3.33%)
34,Salesforce,CRM,0.43%,250.36,-7.97,(-3.09%)
35,IBM,IBM,0.42%,249.96,-3.19,(-1.26%)
36,Morgan Stanley,MS,0.40%,139.35,-3.11,(-2.18%)
37,Abbott Laboratories,ABT,0.40%,127.23,1.03,(0.82%)
38,Goldman Sachs,GS,0.39%,710.05,-13.54,(-1.87%)
39,McDonald's,MCD,0.39%,302.77,2.69,(0.90%)
40,Intuit,INTU,0.39%,775.48,-9.65,(-1.23%)
41,UnitedHealth Group,UNH,0.38%,237.3,-12.27,(-4.91%)
42,RTX Corporation,RTX,0.37%,156.67,-0.9,(-0.57%)
43,Walt Disney Company (The),DIS,0.37%,116.61,-2.5,(-2.10%)
44,Linde plc,LIN,0.37%,441.5,-18.76,(-4.08%)
45,American Express,AXP,0.37%,294.32,-4.99,(-1.67%)
46,Caterpillar Inc.,CAT,0.36%,428.73,-9.29,(-2.12%)
47,Merck & Co.,MRK,0.36%,79.29,1.16,(1.49%)
48,AT&T,T,0.35%,27.78,0.37,(1.36%)
49,PepsiCo,PEP,0.34%,139.17,1.25,(0.90%)
50,ServiceNow,NOW,0.34%,913.01,-30.11,(-3.19%)
51,Uber,UBER,0.32%,86.94,-0.81,(-0.93%)
52,Verizon,VZ,0.32%,42.91,0.15,(0.34%)
53,GE Vernova,GEV,0.32%,655.83,-4.46,(-0.68%)
54,Thermo Fisher Scientific,TMO,0.31%,464.0,-3.68,(-0.79%)
55,Charles Schwab Corporation,SCHW,0.31%,96.26,-1.47,(-1.50%)
56,Intuitive Surgical,ISRG,0.31%,484.75,3.66,(0.76%)
57,Booking Holdings,BKNG,0.31%,5349.5,-154.56,(-2.81%)
58,BlackRock,BLK,0.30%,1090.0,-16.01,(-1.45%)
59,Citigroup,C,0.30%,91.28,-2.42,(-2.58%)
60,Boeing,BA,0.30%,221.75,-0.09,(-0.04%)
61,S&P Global,SPGI,0.30%,545.5,-5.6,(-1.02%)
62,Texas Instruments,TXN,0.29%,180.63,-0.44,(-0.24%)
63,Qualcomm,QCOM,0.29%,148.0,1.24,(0.84%)
64,Amgen,AMGN,0.29%,297.5,2.4,(0.81%)
65,Accenture,ACN,0.28%,254.96,-12.15,(-4.55%)
66,Boston Scientific,BSX,0.28%,105.59,0.67,(0.64%)
67,Eaton Corporation,ETN,0.27%,381.43,-3.29,(-0.86%)
68,Adobe Inc.,ADBE,0.26%,347.75,-9.94,(-2.78%)
69,Arista Networks,ANET,0.26%,117.23,-5.99,(-4.86%)
70,NextEra Energy,NEE,0.26%,70.55,-0.51,(-0.72%)
71,Stryker Corporation,SYK,0.26%,378.62,-14.11,(-3.59%)
72,Applied Materials,AMAT,0.26%,179.64,-0.43,(-0.24%)
73,Progressive Corporation,PGR,0.25%,242.25,0.21,(0.08%)
74,Gilead Sciences,GILD,0.25%,113.07,0.78,(0.70%)
75,Danaher Corporation,DHR,0.25%,196.02,-1.14,(-0.58%)
76,TJX Companies,TJX,0.25%,125.75,1.22,(0.98%)
77,Honeywell,HON,0.25%,217.89,-4.47,(-2.01%)
78,Deere & Company,DE,0.24%,500.99,-23.38,(-4.46%)
79,Pfizer,PFE,0.24%,23.52,0.23,(0.97%)
80,Capital One,COF,0.24%,208.59,-6.41,(-2.98%)
81,Blackstone Inc.,BX,0.24%,170.33,-2.64,(-1.52%)
82,Union Pacific Corporation,UNP,0.23%,219.51,-2.46,(-1.11%)
83,Amphenol,APH,0.23%,104.14,-2.37,(-2.23%)
84,KKR,KKR,0.23%,142.75,-3.83,(-2.61%)
85,Lowe's,LOW,0.23%,226.4,2.83,(1.27%)
86,Automatic Data Processing,ADP,0.22%,302.26,-7.25,(-2.34%)
87,Lam Research,LRCX,0.22%,96.18,1.33,(1.41%)
88,Comcast,CMCSA,0.22%,32.55,-0.68,(-2.06%)
89,Vertex Pharmaceuticals,VRTX,0.21%,466.26,9.38,(2.05%)
90,ConocoPhillips,COP,0.21%,93.18,-2.16,(-2.27%)
91,KLA Corporation,KLAC,0.21%,888.75,9.72,(1.11%)
92,Micron Technology,MU,0.21%,104.49,-4.65,(-4.26%)
93,Palo Alto Networks,PANW,0.21%,173.13,-0.47,(-0.27%)
94,Medtronic,MDT,0.20%,89.18,-1.06,(-1.18%)
95,Synopsys,SNPS,0.20%,606.28,-27.19,(-4.29%)
96,Welltower,WELL,0.20%,167.24,2.17,(1.32%)
97,CrowdStrike,CRWD,0.20%,445.65,-8.92,(-1.96%)
98,"Nike, Inc.",NKE,0.20%,74.53,-0.16,(-0.22%)
99,Analog Devices,ADI,0.20%,221.27,-3.36,(-1.50%)
100,Constellation Energy,CEG,0.19%,341.35,-6.49,(-1.87%)
101,Chubb Limited,CB,0.19%,267.5,1.46,(0.55%)
102,Intercontinental Exchange,ICE,0.19%,184.0,-0.83,(-0.45%)
103,DoorDash,DASH,0.19%,248.5,-1.75,(-0.70%)
104,Southern Company,SO,0.19%,95.01,0.53,(0.56%)
105,Altria,MO,0.19%,61.83,-0.11,(-0.19%)
106,CME Group,CME,0.18%,281.29,3.01,(1.08%)
107,American Tower,AMT,0.18%,214.63,6.24,(2.99%)
108,Starbucks,SBUX,0.18%,86.83,-2.33,(-2.61%)
109,Lockheed Martin,LMT,0.18%,422.01,1.02,(0.24%)
110,Prologis,PLD,0.18%,106.13,-0.65,(-0.61%)
111,Marsh McLennan,MMC,0.17%,197.69,-1.51,(-0.76%)
112,Cadence Design Systems,CDNS,0.17%,356.2,-8.37,(-2.30%)
113,Trane Technologies,TT,0.17%,435.0,-3.08,(-0.70%)
114,Duke Energy,DUK,0.17%,122.88,1.23,(1.02%)
115,Waste Management,WM,0.16%,229.19,0.03,(0.01%)
116,Parker Hannifin,PH,0.16%,710.24,-21.66,(-2.96%)
117,Bristol Myers Squibb,BMY,0.16%,44.33,1.02,(2.34%)
118,Moody's Corporation,MCO,0.16%,501.27,-14.46,(-2.80%)
119,Cintas,CTAS,0.16%,222.73,0.17,(0.08%)
120,TransDigm Group,TDG,0.16%,1593.5,-14.96,(-0.93%)
121,McKesson Corporation,MCK,0.16%,698.27,4.73,(0.68%)
122,Sherwin-Williams,SHW,0.15%,345.84,14.95,(4.52%)
123,Dell Technologies,DELL,0.15%,127.02,-5.67,(-4.27%)
124,HCA Healthcare,HCA,0.15%,356.99,3.0,(0.85%)
125,Royal Caribbean Group,RCL,0.15%,312.13,-5.74,(-1.81%)
126,Intel,INTC,0.15%,19.27,-0.53,(-2.68%)
127,O'Reilly Auto Parts,ORLY,0.15%,99.2,0.88,(0.90%)
128,Northrop Grumman,NOC,0.15%,583.5,6.89,(1.19%)
129,Mondelez International,MDLZ,0.15%,64.38,-0.31,(-0.49%)
130,General Dynamics,GD,0.15%,305.64,-5.98,(-1.92%)
131,Emerson Electric,EMR,0.14%,143.5,-2.01,(-1.38%)
132,Coinbase Global,COIN,0.14%,313.78,-63.98,(-16.94%)
133,CVS Health,CVS,0.14%,62.58,0.48,(0.76%)
134,Airbnb,ABNB,0.14%,128.2,-4.22,(-3.18%)
135,Apollo Global Management,APO,0.14%,137.14,-8.18,(-5.63%)
136,3M,MMM,0.14%,144.5,-4.72,(-3.16%)
137,Aon,AON,0.14%,353.31,-2.4,(-0.68%)
138,Equinix,EQIX,0.13%,772.5,-12.67,(-1.61%)
139,Fortinet,FTNT,0.13%,97.69,-2.21,(-2.21%)
140,Howmet Aerospace,HWM,0.13%,184.4,4.63,(2.58%)
141,PNC Financial Services,PNC,0.13%,188.83,-1.44,(-0.76%)
142,Illinois Tool Works,ITW,0.13%,252.3,-3.67,(-1.43%)
143,Ecolab,ECL,0.13%,260.9,-0.86,(-0.33%)
144,Fiserv,FI,0.13%,135.43,-3.51,(-2.53%)
145,Williams Companies,WMB,0.13%,60.14,0.18,(0.31%)
146,Republic Services,RSG,0.13%,233.09,2.44,(1.06%)
147,Motorola Solutions,MSI,0.13%,435.25,-3.74,(-0.85%)
148,Arthur J. Gallagher & Co.,AJG,0.13%,282.33,-4.93,(-1.71%)
149,United Parcel Service,UPS,0.13%,84.9,-1.27,(-1.47%)
150,Cigna,CI,0.13%,266.45,-0.93,(-0.35%)
151,Johnson Controls,JCI,0.13%,107.39,2.39,(2.27%)
152,BNY Mellon,BK,0.13%,100.13,-1.32,(-1.30%)
153,Vistra Corp.,VST,0.13%,207.72,-0.82,(-0.39%)
154,Marriott International,MAR,0.12%,255.53,-8.3,(-3.15%)
155,Colgate-Palmolive,CL,0.12%,85.0,1.15,(1.37%)
156,Newmont,NEM,0.12%,62.62,0.52,(0.84%)
157,U.S. Bancorp,USB,0.12%,43.97,-0.99,(-2.21%)
158,Zoetis,ZTS,0.12%,147.37,1.58,(1.08%)
159,CSX Corporation,CSX,0.12%,35.03,-0.52,(-1.45%)
160,AutoZone,AZO,0.12%,3856.94,88.55,(2.35%)
