Rank,Company,Symbol,YTD Return
1,Palantir Technologies,PLTR,103.98
2,GE Vernova,GEV,99.59
3,Supermicro,SMCI,85.83
4,NRG Energy,NRG,85.8
5,Seagate Technology,STX,79.37
6,Western Digital,WDC,69.84
7,Howmet Aerospace,HWM,68.47
8,Newmont,NEM,68.16
9,"Tapestry, Inc.",TPR,62.73
10,GE Aerospace,GE,61.51
11,Dollar Tree,DLTR,53.08
12,Constellation Energy,CEG,52.33
13,Jabil,JBL,51.88
14,Vistra Corp.,VST,50.9
15,Amphenol,APH,50.19
16,eBay,EBAY,48.09
17,DoorDash,DASH,48.05
18,Oracle Corporation,ORCL,46.68
19,Uber,UBER,44.08
20,Mosaic Company (The),MOS,43.69
21,Dollar General,DG,43.14
22,Huntington Ingalls Industries,HII,42.79
23,Advanced Micro Devices,AMD,42.15
24,TE Connectivity,TEL,41.24
25,KLA Corporation,KLAC,40.71
26,CVS Health,CVS,39.16
27,Royal Caribbean Group,RCL,36.22
28,RTX Corporation,RTX,35.51
29,Philip Morris International,PM,35.41
30,Johnson Controls,JCI,34.9
31,Hasbro,HAS,33.48
32,Lam Research,LRCX,33.42
33,Monolithic Power Systems,MPWR,32.77
34,L3Harris,LHX,32.33
35,CoStar Group,CSGP,32.14
36,Welltower,WELL,31.91
37,Cardinal Health,CAH,31.9
38,Corning Inc.,GLW,30.58
39,CrowdStrike,CRWD,30.54
40,Citigroup,C,30.46
41,Netflix,NFLX,29.99
42,BNY Mellon,BK,29.91
43,Idexx Laboratories,IDXX,29.53
44,Nvidia,NVDA,29.36
45,Charles Schwab Corporation,SCHW,29.08
46,Cencora,COR,28.34
47,Verisign,VRSN,28.22
48,Meta Platforms,META,28.1
49,Synopsys,SNPS,27.46
50,Ralph Lauren Corporation,RL,27.18
51,Cboe Global Markets,CBOE,26.81
52,Coinbase Global,COIN,26.74
53,Fastenal,FAST,26.38
54,Allegion,ALLE,26.36
55,O'Reilly Auto Parts,ORLY,25.38
56,Boeing,BA,25.37
57,Wynn Resorts,WYNN,25.27
58,TransDigm Group,TDG,25.07
59,Quanta Services,PWR,25.03
60,Northrop Grumman,NOC,24.96
61,Corteva,CTVA,24.95
62,Axon Enterprise,AXON,24.93
63,Generac,GNRC,24.88
64,Walgreens Boots Alliance,WBA,24.76
65,Micron Technology,MU,24.62
